,smiles
0,CC(C=O)C1=CC=CC=C1
1,CC1CCC(C(C1)O)C(C)C
2,C1=CC(C(C=C1)O)O
3,CCCCCC(C=CC1C(CC(C1CCCCCCC(=O)O)O)O)O
4,C(C(C1C(C(C(O1)O)O)O)O)O
5,C1=CC(=CC=C1C(=O)CF)F
6,CC1(C2CCC(C2)(C1O)C)C
7,CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O
8,CCCOC(=O)CC(=O)C
9,CN1CCC(CC1)O
10,C1=CC=C(C=C1)C(C(C(=O)O)N)O
11,C1C(C(C(C(O1)(CO)O)O)O)O
12,CCCC=CC=O
13,CCC(C)C(C)O
14,C(CO)C
15,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
16,CC(=O)C=O
17,CC(=O)CCC(=O)O
18,CC(=O)C1CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C
19,CCCCCC(C=CC1=C(C(=O)CC1)CCCCCCC(=O)O)O
20,CC(CCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O)O
21,CC(C(=O)C)Cl
22,CC1(C2CC1C(=C)C(=O)C2)C
23,C1CCC(CC1)C=O
24,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
25,C(C(=O)C(=O)CBr)Br
26,C1=CC=C2C(=C1)C=CC(=O)C2=O
27,COC(=O)CC(CBr)O
28,CC(=O)CC(=O)OC(C)(C)C
29,CCCCCC(C=CC1C=CC(=O)C1CCCCCCC(=O)O)O
30,CN1CCC(CC1)Cl
31,C1=CC=C(C(=C1)C=O)C
32,C1CC(NC1)O
33,CC(CCl)O
34,C(C(C(=O)O)N)O
35,CC(C1=CN=CC=C1)O
36,C1=CC=C(C=C1)C(C(=O)[O-])O
37,CCC(=O)C
38,C1=CC=C2C(=C1)C3=C(C4=CC=CC=C4C3=O)N(C2=O)CCNCCO
39,CC1(C2CCC1(C(=O)C2=O)C)C
40,CC12CCC3C(C1CCC2O)CCC4=CC(CCC34C)O
41,CC12CCC3(C(C1CCC2=O)CCC4=CC(=O)C=CC43C)O
42,CCCCCC(C1=CC=CC=C1)O
43,C(C(C(=O)C(C(COP(=O)(O)O)O)O)O)O
44,CCCCCCCC=CCO
45,C1CNCCC1=O
46,CC1=CC=C(C=C1)C(=O)CC
47,COC1=CC=C(C=C1)C=O
48,CC(=O)C1=CC=CC2=CC=CC=C21
49,CC(=O)C(=O)C
50,C1CC=CC(=O)C1
51,C1(C(C(OC(C1O)O)C(=O)[O-])O)O
52,C1=CC(=CC=C1C=O)Br
53,CC1=C(C(=O)C(=C(C1=O)C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O)C
54,CCOC(=O)CC(=O)C(F)(F)F
55,COC(=O)C(=O)C1=CC=CC=C1
56,CC(C)(C)OC(=O)N1CCC(=O)C1
57,CC(=O)C(=O)C1=CC=CC=C1
58,CC(=O)C1=CC=C(C=C1)C(C)(C)C
59,COC1=CC(=CC(=C1O)OC)C=CCO
60,CC1C(CC(C(O1)O)O)O
61,CC12CCC3C(C1CCC2=O)C(=O)C=C4C3(CCC(C4)O)C
62,C1CCC2C(C1)CCCC2=O
63,CC12CCCC1C3C(CC2)C4(CCCCC4CC3=O)C
64,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
65,CC1=C(C(CC=C1)(C)C)C=CC(=CC=CC(=CCO)C)C
66,CC(=O)C(=O)OC
67,C(CO)CO
68,CCOC(=O)C(=O)CCC1=CC=CC=C1
69,CC(=O)C1=CC(=CC=C1)F
70,C1=CC2=C(C=C1O)C(=CN2)CC=O
71,CC(=C)CC=O
72,C1=CC=C(C=C1)C(CO)O
73,C1=CC=C2C=C(C=CC2=C1)CO
74,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
75,CC(=O)C1CCCC1O
76,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
77,C(CO)C(CO)O
78,CCCCCC(=O)C=CC1=C(C(=O)CC1)CCCCCCC(=O)O
79,C(C(CCl)O)C(=O)[O-]
80,CC1=C(C2=CC=CC=C2C(=C1)O)O
81,C(C(=O)C(C(C(=O)C(=O)O)O)O)O
82,CC1C(C(C(C(O1)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
83,C(C(CO)O)C(C(C=O)O)O
84,C1=CC(=CC(=C1)F)CO
85,COC(=O)C(=O)C1=CC=CC=C1Cl
86,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
87,CCOC(=O)C(=O)C(C)(C)C
88,COC1=CC(=CC(=C1O)O)C=CCO
89,CCC(CC1=CC=CC=C1)O
90,C1=CC=C(C(=C1)CO)Cl
91,C1=CC(=CC(=C1)O)C=O
92,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C
93,C(CC(=O)[O-])CO
94,C1CCCC(=O)CCC1
95,COC(=O)C(=O)CC1=CC=CC=C1
96,CCC(CO)O
97,C1=CC=C(C=C1)C(=O)C(Cl)Cl
98,CC(=O)CCO
99,CC(=O)CCC(=O)C
100,C1CN2CCC1C(=O)C2
101,CCOC(=O)C(C1=CC=CC=C1)O
102,CC(=O)CCC1=CC=CC=C1
103,CC(C(=O)C1=NC2=C(NC1)N=C(NC2=O)N)O
104,CCC(=O)C1=NC2=C(NC1)N=C(NC2=O)N
